"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YSK4","1.817","3.195","3.203","0.001963","0.01385","-1.658"
"COL13A1","1.814","3.166","3.794","0.0002888","0.003595","0.09847"
"CCL2","1.808","9.479","4.41","0.00003232","0.0007926","2.136"
"MYO1G","1.806","6.313","6.373","1.149e-8","0.000003318","9.64"
"HMGA2","1.804","4.348","3.146","0.002337","0.01581","-1.816"
"CAMP","1.8","1.197","3.519","0.0007226","0.006855","-0.7461"
"CPA4","1.799","4.162","5.359","8.072e-7","0.00006107","5.609"
"C12orf63","1.797","2.685","4.281","0.00005192","0.001094","1.693"
"CRB2","1.797","9.353","6.162","2.842e-8","0.000006547","8.78"
"TNC","1.795","13.1","6.52","6.107e-9","0.000002122","10.24"
"C9orf171","1.795","4.886","4.108","0.00009683","0.001702","1.112"
"FOSL1","1.795","6.88","6.471","7.547e-9","0.000002479","10.04"
"RARRES1","1.793","5.863","4.472","0.00002563","0.0006798","2.353"
"POM121L9P","1.793","5.499","5.137","0.000001965","0.0001174","4.769"
"NNMT","1.792","9.639","3.65","0.0004693","0.005053","-0.3495"
"ZMYND10","1.792","7.058","4.788","0.00000774","0.0003017","3.477"
"CDCP1","1.786","7.157","5.815","1.23e-7","0.00001759","7.391"
"CSTA","1.783","5.206","5.318","9.51e-7","0.00006817","5.454"
"C15orf26","1.778","2.347","3.653","0.0004645","0.005019","-0.3401"
"DNAH5","1.778","5.475","5.524","4.12e-7","0.00004181","6.245"
"COL22A1","1.778","7.691","4.755","0.000008774","0.00033","3.359"
"NKX2.5","1.771","5.515","3.144","0.002348","0.01585","-1.82"
"CFI","1.771","9.325","6.139","3.14e-8","0.000006776","8.686"
"MMEL1","1.769","3.657","4.281","0.00005179","0.001094","1.695"
"FCGR2C","1.76","5.583","5.823","1.189e-7","0.00001741","7.423"
"UBD","1.756","6.332","3.962","0.0001621","0.002411","0.6334"
"SERPINA3","1.753","14.06","4.307","0.00004711","0.001017","1.784"
"METTL7B","1.752","10.47","4.18","0.00007479","0.00142","1.353"
"NAMPT","1.749","12.17","6.884","1.246e-9","6.906e-7","11.75"
"H19","1.743","8.318","2.41","0.01829","0.07016","-3.643"
"ICAM1","1.741","9.47","6.233","2.103e-8","0.000005389","9.066"
"C3orf16","1.736","2.371","3.61","0.0005353","0.005559","-0.4706"
"VENTX","1.734","4.513","6.716","2.602e-9","0.000001067","11.05"
"EDN2","1.729","0.8859","4.748","0.000009031","0.0003342","3.332"
"LGALS3","1.725","11.12","5.027","0.000003042","0.0001556","4.357"
"PAPPA","1.725","4.347","4.149","0.0000836","0.001533","1.249"
"SDC4","1.724","10.34","5.614","2.844e-7","0.00003135","6.596"
"EFHC2","1.722","6.001","4.508","0.00002246","0.0006299","2.477"
"S100A8","1.72","7.322","4.047","0.0001204","0.001979","0.9098"
"HOXB6","1.719","2.738","3.423","0.0009828","0.008549","-1.028"
"HAS3","1.718","6.365","6.465","7.736e-9","0.000002479","10.02"
"EMP3","1.714","10.48","5.958","6.747e-8","0.00001143","7.96"
"AGBL2","1.714","3.871","4.968","0.000003837","0.0001848","4.138"
"FAM20C","1.713","11.31","7.731","2.924e-11","5.45e-8","15.32"
"C11orf88","1.712","2.001","3.383","0.001117","0.009351","-1.144"
"PDPN","1.711","11.58","5.273","0.000001141","0.00007948","5.282"
"ANGPTL4","1.711","9.279","4.195","0.00007095","0.001361","1.402"
"SERPINA1","1.711","9.95","5.619","2.781e-7","0.00003094","6.617"
"HSPA7","1.71","6.474","5.778","1.435e-7","0.00001962","7.244"
"TMEM150B","1.708","1.986","4.585","0.00001679","0.0005182","2.75"
"IL21R","1.699","4.849","4.129","0.00008973","0.001601","1.183"
"KCNE1","1.699","2.463","4.575","0.00001745","0.0005324","2.713"
"SYNC","1.698","8.116","5.636","2.589e-7","0.00002933","6.685"
"PPBP","1.689","2.442","4.147","0.0000841","0.001539","1.243"
"C5AR1","1.683","8.508","6.109","3.56e-8","0.000007298","8.567"
"DIRAS3","1.681","8.481","5.845","1.085e-7","0.00001611","7.51"
"BCL3","1.681","8.194","8.062","6.624e-12","2.263e-8","16.73"
"CYR61","1.68","10.53","5.878","9.451e-8","0.00001468","7.64"
"ADM","1.678","9.245","5.121","0.000002099","0.0001212","4.706"
"GPRC5A","1.663","6.069","4.755","0.000008776","0.00033","3.359"
"SPAG4","1.658","5.415","4.455","0.00002729","0.0007099","2.295"
"C1R","1.656","11.78","6.015","5.302e-8","0.000009764","8.189"
"ORM1","1.655","0.1852","4.752","0.000008878","0.0003303","3.348"
"THBS1","1.653","9.361","4.185","0.00007346","0.001398","1.369"
"ANXA2P2","1.647","10.9","5.814","1.239e-7","0.00001759","7.384"
"OSM","1.643","5.929","4.468","0.00002608","0.0006873","2.337"
"SGMS2","1.641","6.27","7.915","1.28e-11","3.4e-8","16.1"
"ADAM8","1.641","6.8","4.821","0.000006812","0.0002733","3.597"
"LOC400891","1.635","1.435","3.997","0.0001435","0.002237","0.7464"
"CAV1","1.632","10.39","5.466","5.22e-7","0.00004736","6.021"
"C3orf66","1.632","3.371","3.841","0.0002462","0.003228","0.2459"
"SOD2","1.632","13.6","5.738","1.699e-7","0.00002218","7.084"
"TREML2","1.629","1.877","5.16","0.000001798","0.0001107","4.852"
"OSMR","1.629","9.216","5.968","6.475e-8","0.00001113","7.999"
"LGALS12","1.628","1.697","5.41","6.554e-7","0.00005464","5.806"
"COL6A3","1.627","8.303","3.589","0.0005736","0.005836","-0.5341"
"SERPINA5","1.627","6.621","4.287","0.00005071","0.001079","1.715"
"C1S","1.622","11.28","5.585","3.197e-7","0.00003431","6.485"
"C9orf44","1.622","3.056","3.191","0.002033","0.01425","-1.69"
"C20orf195","1.621","2.277","5.484","4.845e-7","0.00004577","6.092"
"PLA2G5","1.616","8.112","3.556","0.0006398","0.006315","-0.6344"
"EMR1","1.612","4.679","4.075","0.0001088","0.001838","1.003"
"EREG","1.612","1.788","3.725","0.0003657","0.004197","-0.1195"
"GBP5","1.607","6.004","4.875","0.000005523","0.0002341","3.794"
"ITGB4","1.607","10.84","5.852","1.054e-7","0.0000159","7.537"
"RBM47","1.607","7.787","7.357","1.548e-10","1.783e-7","13.73"
"SLC11A1","1.606","9.458","5.772","1.476e-7","0.00001978","7.217"
"LOXL4","1.602","5.12","5.201","0.000001522","0.00009876","5.01"
"GLIS3","1.602","9.462","7.186","3.302e-10","2.355e-7","13.01"
"TFCP2L1","1.602","6.653","4.169","0.00007786","0.001456","1.315"
"CR1","1.6","3.744","3.356","0.001219","0.009935","-1.224"
"IL1RN","1.598","5.396","4.909","0.000004834","0.0002122","3.92"
"ANXA2","1.596","11.92","5.98","6.16e-8","0.0000107","8.046"
"LILRA6","1.596","5.226","4.508","0.00002244","0.0006299","2.478"
"LRRIQ1","1.593","2.37","3.32","0.001363","0.01077","-1.326"
"MYCBPAP","1.591","3.912","4.572","0.00001761","0.0005357","2.705"
"C1RL","1.591","9.122","7.627","4.636e-11","7.921e-8","14.88"
"BNC2","1.59","6.042","5.095","0.000002325","0.0001285","4.61"
"TRPM8","1.589","5.78","4.206","0.00006813","0.001324","1.44"
"SH2D2A","1.586","3.678","5.382","7.357e-7","0.00005818","5.697"
"COL3A1","1.586","11.17","3.699","0.0003987","0.004506","-0.1993"
"C10orf81","1.584","3.525","3.389","0.001097","0.009227","-1.128"
"LILRB3","1.584","5.151","5.289","0.000001068","0.00007578","5.344"
"TACSTD2","1.584","3.147","4.403","0.00003317","0.0008096","2.112"
"GZMK","1.582","3.107","3.542","0.0006691","0.006517","-0.6755"
"LILRB2","1.582","6.039","5.448","5.604e-7","0.00004889","5.954"
"LOC154761","1.581","5.741","5.364","7.891e-7","0.00006036","5.63"
"SDK1","1.579","7.498","4.462","0.00002665","0.0006996","2.317"
"PTPN22","1.575","4.411","5.759","1.555e-7","0.00002057","7.168"
"IL6","1.573","4.866","3.319","0.001368","0.0108","-1.33"
"FOLR1","1.572","5.361","3.515","0.0007324","0.006919","-0.7584"
"CXCL2","1.572","6.173","3.946","0.0001711","0.002508","0.5834"
"WBSCR28","1.572","0.4275","4.093","0.0001022","0.001762","1.062"
"CHRNA9","1.571","5.627","3.169","0.002176","0.01498","-1.751"
"C1orf192","1.57","6.37","3.732","0.0003561","0.004127","-0.09498"
"DTHD1","1.569","2.513","3.225","0.001836","0.01326","-1.597"
"IFLTD1","1.569","1.851","4.035","0.0001254","0.002028","0.8713"
"MLPH","1.568","2.756","3.454","0.000891","0.00798","-0.938"
"RETN","1.568","0.6903","4.161","0.00008013","0.001485","1.288"
"S100A9","1.567","8.522","3.583","0.0005865","0.005927","-0.5546"
"CD70","1.565","3.118","2.78","0.0068","0.03439","-2.774"
"MMP1","1.564","2.503","3.191","0.002036","0.01425","-1.691"
"CD109","1.562","8.183","5.078","0.00000249","0.0001354","4.545"
"GPR84","1.56","5.519","5.322","9.358e-7","0.00006803","5.469"
"TCEA3","1.56","7.005","4.558","0.00001856","0.0005547","2.656"
"LRGUK","1.558","4.046","5.339","8.736e-7","0.00006465","5.534"
"MET","1.557","7.589","3.138","0.002391","0.01605","-1.837"
"ITGA3","1.556","10.36","5.11","0.000002194","0.0001241","4.664"
"MAN1C1","1.555","10.3","6.871","1.321e-9","6.945e-7","11.7"
"RNASE3","1.549","3.515","4.455","0.00002737","0.0007111","2.292"
"FAM46B","1.544","5.655","3.944","0.0001726","0.002517","0.575"
"AEBP1","1.544","12.48","4.882","0.000005368","0.0002297","3.821"
"FZD7","1.542","9.506","6.088","3.899e-8","0.000007836","8.48"
"CCDC33","1.54","0.9966","2.955","0.004117","0.02374","-2.326"
"HTR1D","1.539","3.994","3.85","0.0002383","0.003165","0.2761"
"TNFAIP2","1.539","9.239","6.08","4.024e-8","0.000007932","8.45"
"C6orf97","1.537","5.209","4.739","0.000009331","0.0003398","3.301"
"BDKRB2","1.537","6.129","4.167","0.00007842","0.00146","1.308"
"SRPX2","1.53","8.245","3.99","0.0001467","0.002263","0.726"
"C5orf46","1.529","0.3966","3.475","0.0008337","0.007607","-0.8771"
"FAM86B2","1.528","3.767","4.599","0.00001595","0.0005008","2.798"
"PTRF","1.527","11.5","7.881","1.493e-11","3.4e-8","15.96"
"HES2","1.527","1.928","4.069","0.0001112","0.001862","0.9835"
"STOML3","1.526","0.8408","2.898","0.004866","0.02681","-2.476"
"C4orf47","1.52","5.198","4.868","0.000005668","0.0002371","3.77"
"POU2F3","1.519","1.223","4.21","0.00006704","0.001312","1.455"
"FCAR","1.517","2.731","3.858","0.0002322","0.003107","0.3003"
"MME","1.516","3.832","3.094","0.002733","0.01768","-1.957"
"MXRA5","1.515","8.209","3.909","0.0001944","0.002747","0.4648"
"MTTP","1.514","6.854","3.807","0.0002761","0.00349","0.14"
"CCL13","1.513","0.6945","3.175","0.00214","0.01479","-1.736"
"IL10","1.513","3.811","3.85","0.0002383","0.003165","0.2761"
"ELF3","1.511","4.175","4.962","0.000003934","0.0001871","4.114"
"KRT16","1.51","1.097","2.793","0.00655","0.03344","-2.741"
"LOC647309","1.505","1.297","2.925","0.004498","0.02537","-2.405"
"FHAD1","1.502","4.499","4.457","0.00002711","0.000708","2.301"
"ACAP1","1.496","4.631","4.948","0.000004159","0.0001938","4.062"
"IL18R1","1.496","3.608","4.947","0.00000417","0.0001939","4.059"
"CHST4","1.496","1.058","4.696","0.000011","0.0003849","3.146"
"SECTM1","1.495","7.412","5.274","0.000001138","0.00007948","5.284"
"LRRC18","1.49","1.368","3.644","0.0004787","0.005122","-0.3676"
"EFEMP1","1.488","12.04","4.37","0.0000374","0.000866","2"
"VASN","1.486","8.408","5.503","4.478e-7","0.00004416","6.166"
"DSG2","1.484","4.698","2.45","0.01649","0.06524","-3.553"
"G0S2","1.483","6.493","3.696","0.0004028","0.004544","-0.2087"
"CEBPD","1.482","10.27","7.765","2.509e-11","5.143e-8","15.46"
"TTC12","1.481","6.381","4.402","0.00003332","0.000811","2.108"
"ERAP2","1.475","8.444","3.731","0.0003577","0.004136","-0.09912"
"COL6A2","1.475","11.08","3.864","0.0002276","0.003059","0.3186"
"SERPING1","1.474","11.7","5.937","7.38e-8","0.0000121","7.875"
"FBXO32","1.473","9.23","6.319","1.449e-8","0.000003962","9.42"
"PODNL1","1.472","5.299","4.212","0.00006667","0.001309","1.46"
"CAPS","1.469","8.701","4.758","0.000008675","0.0003288","3.37"
"GBP3","1.467","8.609","3.596","0.0005616","0.005756","-0.5147"
"CATSPER1","1.465","1.872","3.824","0.0002608","0.00334","0.1927"
"AK7","1.465","2.707","3.131","0.002445","0.01635","-1.857"
"DNAH11","1.465","4.241","3.087","0.00279","0.01791","-1.976"
"C1orf88","1.461","8.684","4.921","0.00000461","0.0002081","3.965"
"CD300E","1.461","0.4108","4.782","0.000007931","0.0003085","3.454"
"NUP62CL","1.459","2.041","3.46","0.0008745","0.007887","-0.9209"
"NOD2","1.455","5.53","5.518","4.22e-7","0.00004261","6.223"
"SLAMF6","1.455","3.664","4.031","0.0001273","0.002052","0.8576"
"GBP2","1.454","9.954","5.574","3.341e-7","0.00003523","6.444"
"SLAMF8","1.452","7.405","4.788","0.000007723","0.0003017","3.479"
"SALL4","1.452","3.007","3.641","0.000483","0.005157","-0.3759"
"TC2N","1.451","6.484","3.533","0.0006906","0.006644","-0.7045"
"LBP","1.451","1.378","2.853","0.005532","0.02957","-2.59"
"C11orf63","1.447","5.931","4.281","0.00005194","0.001094","1.693"
"TMEM61","1.445","2.623","3.881","0.0002145","0.00294","0.3734"
"BCL2A1","1.441","6.19","4.16","0.00008029","0.001487","1.287"
"FAM115C","1.439","8.24","5.101","0.000002273","0.000127","4.631"
"C7orf29","1.439","5.329","4.027","0.0001288","0.00207","0.8466"
"CXCL14","1.437","9.838","2.897","0.004873","0.02682","-2.477"
"WDR16","1.434","4.539","2.58","0.01175","0.05079","-3.257"
"NFKBIZ","1.433","7.656","5.118","0.000002122","0.0001222","4.696"
"TNFRSF12A","1.431","10.01","4.793","0.000007584","0.0002979","3.496"
"LGR6","1.43","6.463","2.466","0.01582","0.06313","-3.517"
"SLC22A18","1.43","7.17","5.516","4.253e-7","0.00004274","6.215"
"PLEKHA7","1.426","7.659","6.171","2.733e-8","0.00000644","8.818"
"MYOF","1.424","9.43","7.192","3.213e-10","2.355e-7","13.04"
"GDF15","1.424","7.221","3.425","0.0009769","0.008504","-1.022"
"CLECL1","1.422","3.085","4.329","0.00004356","0.0009572","1.857"
"MAP1LC3C","1.422","4.78","3.975","0.0001547","0.002342","0.6769"
"MS4A4A","1.422","8.368","4.33","0.00004342","0.0009572","1.86"
"ANXA2P1","1.418","5.579","5.811","1.253e-7","0.00001759","7.373"
"PLAUR","1.418","8.708","6.233","2.096e-8","0.000005389","9.069"
"CDHR4","1.418","0.07641","3.937","0.0001769","0.00256","0.5523"
"IL15","1.418","4.572","4.767","0.000008393","0.0003225","3.401"
"VWA3A","1.416","4.927","2.712","0.008201","0.03929","-2.94"
"TGFBI","1.415","11.22","4.238","0.00006068","0.001227","1.548"
"ARSJ","1.414","7.427","4.028","0.0001286","0.002067","0.8485"
"FLNC","1.411","10.63","4.038","0.0001241","0.002014","0.8812"
"SPATA17","1.407","5.146","4.452","0.00002768","0.0007148","2.281"
"SCGB1D2","1.406","2.222","2.794","0.006534","0.0334","-2.739"
"RSPH10B2","1.405","3.681","4.607","0.00001545","0.000491","2.828"
"MRC1","1.404","6.489","3.022","0.003382","0.02053","-2.149"
"C6orf118","1.403","4.463","3.915","0.000191","0.002715","0.4814"
"CCR2","1.402","3.701","3.43","0.0009634","0.008433","-1.01"
"DMBX1","1.401","2.309","3.104","0.002653","0.01732","-1.931"
"GJB2","1.4","6.645","3.614","0.0005294","0.005524","-0.4604"
"ETV7","1.399","4.976","4.4","0.00003347","0.0008129","2.103"
"ESM1","1.398","6.528","3.216","0.001882","0.0135","-1.62"
"CAPSL","1.398","1.175","2.324","0.02267","0.08173","-3.829"
"COL5A1","1.396","9.111","3.643","0.0004798","0.005131","-0.3699"
"FAM110C","1.395","2.85","3.444","0.0009207","0.00816","-0.968"
"MUC1","1.395","7.61","5.881","9.353e-8","0.00001464","7.65"
"S100A12","1.395","2.369","3.237","0.001764","0.01288","-1.561"
"ACPP","1.395","3.926","4.073","0.0001097","0.001846","0.9956"
"ADAMTSL4","1.394","7.308","5.473","5.067e-7","0.00004679","6.049"
"LILRA5","1.394","3.507","3.33","0.00132","0.01054","-1.297"
"DKK1","1.39","4.4","2.353","0.02109","0.0778","-3.766"
"TRPC7","1.386","1.386","4.014","0.000135","0.002143","0.8034"
"ESR2","1.386","3.83","4.448","0.00002807","0.0007202","2.268"
"KIRREL2","1.385","5.145","4.305","0.00004746","0.001022","1.777"
"SPAG17","1.384","2.504","2.79","0.006604","0.03367","-2.748"
"CES1","1.384","3.654","2.383","0.01958","0.07369","-3.702"
"CIITA","1.383","7.385","5.491","4.715e-7","0.00004517","6.118"
"C11orf35","1.382","2.648","4.493","0.00002368","0.0006534","2.427"
"PDCD1LG2","1.38","6.384","4.205","0.00006843","0.001326","1.435"
"COL1A2","1.38","11.7","3.852","0.0002371","0.003161","0.2808"
"FKBP5","1.375","10.91","5.19","0.000001594","0.0001015","4.966"
"ROPN1L","1.375","3.675","3.176","0.002129","0.01475","-1.731"
"LCN2","1.375","0.7887","3.23","0.001807","0.01314","-1.583"
"UBXN10","1.375","4.696","2.479","0.01532","0.06173","-3.489"
"RASSF9","1.375","2.317","2.737","0.007652","0.03739","-2.879"
"TNFRSF11B","1.374","7.011","4.077","0.000108","0.001833","1.01"
"RDH10","1.374","9.937","5.462","5.308e-7","0.00004773","6.006"
"GCKR","1.372","2.71","3.958","0.0001643","0.002436","0.6206"
"MMP14","1.372","11.53","5.122","0.000002088","0.0001212","4.711"
"GCNT1","1.372","6.514","4.563","0.00001826","0.0005474","2.671"
"MIR155HG","1.37","4.731","4.628","0.00001427","0.0004651","2.902"
"CPZ","1.368","4.69","3.1","0.002684","0.01745","-1.941"
"WDR93","1.356","3.79","4.484","0.0000245","0.0006644","2.395"
"C19orf51","1.356","4.981","3.825","0.00026","0.003331","0.1956"
"STC1","1.355","7.168","3.578","0.0005962","0.005992","-0.5695"
"VWA3B","1.355","4.997","4.365","0.00003811","0.0008709","1.982"
"HSPA6","1.352","8.224","4.423","0.00003074","0.0007675","2.183"
"LEPREL1","1.349","7.905","6.155","2.928e-8","0.000006596","8.752"
"FAM20A","1.348","7.154","4.04","0.0001232","0.002006","0.8883"
"AKR1B10","1.348","1.196","2.765","0.00709","0.0355","-2.811"
"SIGLEC14","1.346","6.272","3.215","0.001892","0.01354","-1.624"
"GPR97","1.345","3.537","4.284","0.00005137","0.001091","1.703"
"GPX8","1.344","7.97","3.808","0.0002756","0.003488","0.1417"
"BHLHE40","1.341","10.74","6.785","1.929e-9","8.987e-7","11.34"
"ST6GALNAC2","1.334","5.041","3.648","0.0004728","0.005075","-0.3563"
"PTPN7","1.332","6.507","5.707","1.931e-7","0.00002414","6.963"
"TFPI2","1.329","4.094","2.744","0.007514","0.03684","-2.863"
"GOLGA2B","1.329","5.693","4.857","0.000005917","0.0002451","3.73"
"S100A11","1.327","11.12","5.085","0.000002422","0.0001331","4.572"
"GATA3","1.327","3.214","3.271","0.001588","0.01196","-1.465"
"GPR39","1.324","5.893","4.856","0.000005955","0.0002456","3.724"
"LRRC50","1.324","3.879","3.212","0.001907","0.01361","-1.632"
"NLRP12","1.322","2.28","4.689","0.0000113","0.0003899","3.121"
"TDO2","1.321","5.122","3.292","0.001488","0.01145","-1.406"
"EGF","1.32","5.787","4.414","0.00003185","0.0007856","2.15"
"TUBA1C","1.319","11.52","4.344","0.00004126","0.0009207","1.908"
"PLTP","1.318","12.61","6.594","4.431e-9","0.000001652","10.55"
"CCDC147","1.316","2.525","3.466","0.0008581","0.00777","-0.9036"
"UPP1","1.314","9.316","5.595","3.076e-7","0.00003336","6.522"
"C8orf4","1.313","9.424","4.536","0.00002022","0.0005848","2.575"
"ODF3B","1.312","4.847","4.157","0.00008134","0.001501","1.274"
"HRASLS5","1.309","6.141","3.416","0.001005","0.008693","-1.049"
"SIGLEC7","1.309","6.038","4.075","0.0001088","0.001838","1.004"
"DNAI1","1.309","2.605","3.239","0.001754","0.01282","-1.555"
"ZC3H12A","1.305","6.545","8.117","5.176e-12","2.122e-8","16.96"
"GBP1","1.304","10.18","4.765","0.000008449","0.0003225","3.395"
"IFI30","1.303","10.93","4.48","0.00002492","0.0006688","2.379"
"VWA5B1","1.3","1.282","2.985","0.003775","0.02227","-2.248"
"MMP9","1.297","7.933","2.278","0.02542","0.08897","-3.927"
"CASZ1","1.296","6.363","5.937","7.379e-8","0.0000121","7.875"
"CLEC2B","1.296","6.969","4.434","0.00002951","0.0007459","2.221"
"EMR2","1.292","7.338","5.723","1.807e-7","0.00002299","7.026"
"CD14","1.291","11.18","4.945","0.000004194","0.0001945","4.054"
"LRRC8E","1.291","3.315","3.57","0.0006103","0.0061","-0.591"
"IL1F8","1.29","0.2815","3.755","0.00033","0.003926","-0.02472"
"SLC16A3","1.289","9.625","5.343","8.615e-7","0.00006422","5.547"
"CD72","1.289","5.575","4.65","0.00001313","0.0004362","2.98"
"ZFP36","1.288","11.12","5.164","0.000001768","0.0001092","4.868"
"P2RY8","1.287","5.113","4.429","0.00003013","0.0007579","2.202"
"NXF3","1.285","0.668","4.335","0.00004251","0.0009431","1.88"
"LRRC61","1.283","6.491","3.153","0.002282","0.01552","-1.794"
"KYNU","1.281","5.83","4.724","0.000009898","0.0003554","3.246"
"ANG","1.28","6.747","5.666","2.294e-7","0.00002687","6.8"
"APOB48R","1.28","7.22","5.636","2.587e-7","0.00002933","6.686"
"PROS1","1.28","10.01","5.362","7.978e-7","0.0000606","5.62"
"ALDH3B1","1.279","7.914","6.959","8.994e-10","5.268e-7","12.06"
"CYTIP","1.277","6.422","4.917","0.000004692","0.0002087","3.948"
"FEZF1","1.277","2.149","2.233","0.0284","0.09638","-4.022"
"WBSCR27","1.276","4.018","4.538","0.00002001","0.0005818","2.585"
"MEOX2","1.276","7.885","2.29","0.02471","0.08716","-3.902"
"SIGLEC9","1.274","6.794","4.933","0.000004397","0.0002016","4.009"
"EFCAB10","1.273","3.798","4.248","0.00005851","0.001195","1.582"
"CCDC129","1.273","1.201","2.728","0.007856","0.03813","-2.902"
"FBLN7","1.273","7.529","4.02","0.0001322","0.002111","0.8224"
"MRC2","1.272","11.49","5.211","0.000001462","0.00009634","5.048"
"LOXL1","1.271","7.362","3.939","0.0001756","0.002549","0.5592"
"SPP1","1.271","15.12","3.268","0.001603","0.01203","-1.474"
"ANPEP","1.27","7.003","4.577","0.00001731","0.0005288","2.721"
"IL1RL1","1.269","3.134","2.661","0.009427","0.04319","-3.063"
"ST14","1.269","7.691","3.963","0.0001614","0.002405","0.6373"
"CD3D","1.269","3.106","2.711","0.008234","0.03939","-2.944"
"ITPR3","1.268","7.138","3.513","0.0007354","0.006941","-0.7622"
"PLEKHA4","1.264","10.09","4.847","0.000006145","0.0002509","3.694"
"ATP6V0D2","1.264","1.997","2.875","0.005196","0.0282","-2.534"
"ADAM12","1.264","8.595","3.827","0.0002585","0.003318","0.201"
"COL14A1","1.263","7.479","2.674","0.009113","0.04223","-3.034"
"FCGR3A","1.262","11.49","4.513","0.00002203","0.0006238","2.495"
"HOXA1","1.262","4.39","2.942","0.004279","0.0244","-2.361"
"HRH1","1.261","9.653","5.531","3.993e-7","0.00004072","6.275"
"LOC283314","1.258","4.024","4.441","0.00002884","0.0007334","2.243"
"FBP1","1.258","7.101","4.501","0.000023","0.0006415","2.455"
"MT1L","1.257","5.605","3.655","0.0004615","0.004997","-0.3339"
"ACSS3","1.255","8.54","3.58","0.000591","0.005954","-0.5615"
"C2orf50","1.255","3.934","3.143","0.002357","0.01589","-1.824"
"C1orf189","1.25","0.2874","3.271","0.001592","0.01199","-1.468"
"SCNN1A","1.249","1.973","4.479","0.00002503","0.0006698","2.375"
"CTLA4","1.248","2.634","3.853","0.0002359","0.003147","0.2857"
"RCAN1","1.248","12.04","5.231","0.000001351","0.00009057","5.122"
"KISS1R","1.247","2.991","2.484","0.0151","0.06107","-3.476"
"SLC34A2","1.247","4.645","3.463","0.0008662","0.007827","-0.9122"
"C10orf55","1.245","2.982","4.547","0.00001938","0.0005692","2.615"
"LAIR1","1.244","9.272","5.013","0.000003214","0.0001609","4.305"
"RAB36","1.242","8.282","4.073","0.0001097","0.001846","0.9963"
"PTGS2","1.241","6.846","3.396","0.001074","0.009104","-1.109"
"GPR128","1.241","1.54","2.139","0.03555","0.1134","-4.212"
"RASEF","1.241","2.62","2.448","0.01659","0.06549","-3.558"
"BICC1","1.239","4.691","3.747","0.0003395","0.003998","-0.05093"
"AOX1","1.238","5.441","3.194","0.00202","0.01417","-1.684"
"SLC25A43","1.238","7.894","6.033","4.909e-8","0.000009406","8.262"
"S100A4","1.238","8.539","3.894","0.0002053","0.00286","0.414"
"STAC","1.237","6.326","2.37","0.0202","0.07543","-3.729"
"C3","1.237","13.76","4.416","0.00003161","0.0007837","2.157"
"BATF","1.236","4.234","3.842","0.0002454","0.003223","0.2491"
"TCTEX1D4","1.236","1.784","4.009","0.0001376","0.002169","0.7855"
"CCDC65","1.235","5.44","3.621","0.0005164","0.005427","-0.4375"
"PYGL","1.232","10.25","6.104","3.645e-8","0.000007399","8.544"
"CD7","1.232","4.286","4.652","0.00001304","0.0004339","2.987"
"COL21A1","1.231","4.681","2.232","0.02848","0.09655","-4.024"
"FCGR2A","1.23","10.21","4.897","0.000005067","0.0002201","3.876"
"CTSZ","1.23","11.05","5.653","2.42e-7","0.00002787","6.749"
"IL1B","1.229","7.267","3.596","0.0005609","0.005755","-0.5135"
"FAM26F","1.228","6.486","3.991","0.0001465","0.002262","0.7272"
"CCR5","1.227","6.524","4.394","0.00003432","0.0008266","2.08"
"GFPT2","1.227","9.752","4.92","0.000004638","0.0002081","3.959"
"FPR3","1.226","7.226","3.557","0.000637","0.006291","-0.6304"
"PDLIM4","1.226","9.159","2.812","0.006209","0.03214","-2.693"
"CD274","1.226","4.762","4.552","0.000019","0.000563","2.633"
"DOK3","1.225","7.933","6.189","2.533e-8","0.000006123","8.89"
"ADAMTS14","1.224","6.281","3.355","0.001221","0.009947","-1.226"
"GAPT","1.224","5.863","4.041","0.0001227","0.002002","0.8915"
"LOC100271831","1.223","4.687","2.525","0.01357","0.0565","-3.384"
"ARSI","1.223","6.078","3.345","0.001263","0.0102","-1.257"
"C6","1.223","1.043","2.598","0.0112","0.04905","-3.215"
"MT1H","1.223","3.255","2.67","0.009204","0.0425","-3.042"
"ARL4C","1.223","11.07","5.913","8.165e-8","0.00001318","7.779"
"LAMA3","1.222","4.902","2.837","0.005787","0.03057","-2.631"
"RUNX1","1.221","9.256","5.013","0.000003218","0.0001609","4.303"
"IGFBP3","1.22","11.67","3.018","0.003421","0.02071","-2.16"
"CLDN4","1.22","4.51","4.957","0.000004005","0.0001896","4.097"
"TYMP","1.218","8.989","4.725","0.000009849","0.0003548","3.25"
"TAGLN2","1.216","12.74","4.911","0.000004793","0.0002113","3.928"
"RBM46","1.216","1.393","3.286","0.00152","0.01161","-1.425"
"LTBP2","1.215","8.31","4.789","0.000007716","0.0003017","3.48"
"NEAT1","1.215","11.67","4.483","0.00002459","0.0006649","2.392"
"IER3","1.215","8.077","4.985","0.000003598","0.0001765","4.198"
"LOC100126784","1.214","7.953","4.396","0.00003404","0.0008238","2.088"
"RSPH1","1.214","6.882","3.227","0.001822","0.01321","-1.59"
"C10orf79","1.212","4.806","3.786","0.0002973","0.003652","0.07154"
"SNX10","1.211","9.842","3.336","0.001299","0.01043","-1.283"
"CEBPB","1.209","9.217","6.768","2.078e-9","9.467e-7","11.27"
